ID1_G,FS_1,ACES_1,DF_1,W1S_1,W2S_1,BP_1
7,0.5272780328709676,0.0645457416129032,0.04860611792741935,0.7088207865080645,0.5057075109919356,3.4274193548387095
10,0.6714799871764706,0.03305316535294117,0.01700367382352941,0.6439710878235294,0.4931940765294118,2.5294117647058822
12,0.5901525039545454,0.05530256331818182,0.031027157818181824,0.6761320827727272,0.4844616147272728,2.8636363636363638
16,0.530864198,0.135802469,0.172839506,0.837209302,0.39473684200000003,2.0
18,0.5261496545,0.065151515,0.10219962775000001,0.7018793705,0.507952187,2.25
19,0.6329898404921136,0.10648338802839116,0.021793376732484087,0.7938404679652994,0.5922861279211359,3.3406940063091484
22,0.6139836838562498,0.07634344165000002,0.0422295353207547,0.7447215563812501,0.5383909488124997,2.8125
47,0.58024276425,0.031588424,0.04501680575,0.73088142125,0.5079545455,2.5
52,0.6247686545833333,0.08519381658333332,0.038189689000000006,0.71568284125,0.4981308544999999,2.3333333333333335
68,0.6024801315151516,0.035553803181818194,0.06016905069696968,0.6340788070303031,0.44752006348484846,1.878787878787879
71,0.5818844468888889,0.16286378722222222,0.04051896888888889,0.747957648111111,0.4697050114444445,1.2222222222222223
72,0.5913478397345134,0.020896732256637157,0.03426605115044248,0.6878135198495576,0.5372363254247788,2.672566371681416
75,0.6137751018060342,0.053144479852813856,0.034945542857758624,0.7020742286422409,0.5301946974655171,2.918103448275862
78,0.5684767521839081,0.09390364260919543,0.03139728794252873,0.7250809013218391,0.5021078899195404,2.3333333333333335
79,0.5890407625,0.042899032250000003,0.0448577235,0.77777899175,0.56937119675,2.75
84,0.6168662564905658,0.05846987966037734,0.027820882819905194,0.7231045020849056,0.5263296920896228,2.9339622641509435
89,0.6589968575641028,0.12386196435897438,0.023935315974358978,0.7419215314102564,0.5457507919487178,2.2051282051282053
91,0.6353993933333334,0.06435175,0.02955340333333333,0.7097837016666667,0.5322829785,3.1666666666666665
94,0.4,0.05,0.0,0.6875,0.208333333,0.0
133,0.6174878968356385,0.04063437174758849,0.05518741535130026,0.6446904134839729,0.45526776112424244,1.8635174986530123
192,0.5625,0.041666667000000004,0.041666667000000004,0.444444444,0.333333333,3.0
193,0.6190476189999999,0.057142857000000005,0.00952381,0.615384615,0.575,4.0
254,0.6610212335000001,0.023255814,0.0,0.4895104895,0.7375565610000001,4.5
276,0.56933557275,0.031136533249999997,0.040841646999999995,0.5287363432500001,0.46208356875,1.25
278,0.635406286590909,0.029415939909090912,0.04885523936363636,0.6348767689090908,0.48316291718181825,2.5
286,0.6085343574545454,0.030159048727272732,0.08992958845454545,0.6337842414545455,0.44052789718181823,3.5454545454545454
382,0.632911392,0.012658228,0.0,0.56,0.413793103,0.0
401,0.6910951509999999,0.053277790531250015,0.033083322874999994,0.6749128577812501,0.48419154240625,2.25
422,0.5609127251249999,0.04866946950000001,0.0859270935,0.5524935521250001,0.387984162,1.75
427,0.62271273327551,0.0627079006173469,0.0394381702923077,0.716990125469388,0.5250389340663264,3.1530612244897958
430,0.5517178243333333,0.05984963133333334,0.068479949,0.5789473683333334,0.47098672866666663,1.3333333333333333
431,0.5707565285,0.0143049155,0.046562980000000004,0.5344827590000001,0.5021164025,2.0
453,0.6268264827412934,0.03674052960199006,0.04339444490547261,0.679952800532338,0.5004477454776121,2.915422885572139
468,0.5789347357016129,0.13270513894354838,0.04173844243724695,0.7644595901975804,0.5260504611008064,2.120967741935484
469,0.5503536069180328,0.053243466327868826,0.050639402327868815,0.7041717272622956,0.5128172906639343,2.6557377049180326
488,0.5508144180454547,0.06901867477272727,0.03374800774242426,0.7311488326363635,0.5057277642272726,2.909090909090909
492,0.6462869819444443,0.022756075499999997,0.025515535333333332,0.6294760593888888,0.4965147902222222,3.6666666666666665
496,0.6174878968356385,0.04063437174758849,0.05518741535130026,0.6446904134839729,0.45526776112424244,1.8635174986530123
497,0.5084656086666667,0.014814814666666669,0.038888889,0.5434782610000001,0.48315390766666666,2.6666666666666665
499,0.6174878968356385,0.04063437174758849,0.05518741535130026,0.6446904134839729,0.45526776112424244,1.8635174986530123
505,0.530764411,0.11422305740000001,0.0697577278,0.7760557960000001,0.5404186078,1.6
515,0.6118795340000001,0.06952087342857143,0.023260781,0.6778114832857142,0.4849900055714285,1.8571428571428572
516,0.6032485243333332,0.04894260978205126,0.022518196217948712,0.6704706764102564,0.5331300869230768,2.220779220779221
517,0.5473687818571429,0.08651147057142858,0.07466192442857143,0.7225009318571428,0.5061020958571429,3.5714285714285716
