,ID_P,NAME_P,DATE_P,COUNTRY_P,RANK_P,PROGRESS_P,POINT_P,HARDPOINT_P,HARDTOUR_P,CLAYPOINT_P,CLAYTOUR_P,GRASSPOINT_P,GRASSTOUR_P,CARPETPOINT_P,CARPETTOUR_P,PRIZE_P,CH_P,DR_P,DP_P,DO_P,IHARDPOINT_P,IHARDTOUR_P,ITF_ID
6,7,Lleyton Hewitt,1981-02-24 00:00:00,AUS,626.0,-3.0,45.0,120.0,5.0,0.0,1.0,10.0,3.0,0.0,0.0,20717156.0,,263.0,0.0,270.0,0.0,0.0,
9,10,Juan Carlos Ferrero,1980-02-12 00:00:00,ESP,,,,,,,,,,,,,,,,,,,
11,12,Arnaud Clement,1977-12-17 00:00:00,FRA,,,,,,,,,,,,,,,,,,,
15,16,Mark Philippoussis,1976-11-07 00:00:00,AUS,,,,,,,,,,,,6987402.0,,,,,,,
17,18,Dominik Hrbaty,1978-01-04 00:00:00,SVK,,,,,,,,,,,,,,,,,,,
18,19,Roger Federer,1981-08-08 00:00:00,SUI,7.0,0.0,3730.0,3650.0,7.0,1310.0,5.0,1700.0,2.0,0.0,0.0,97303556.0,2130.0,,,,1040.0,3.0,
21,22,Tommy Haas,1978-04-03 00:00:00,GER,,,,28.0,5.0,0.0,0.0,65.0,4.0,0.0,0.0,13313605.0,,,,,0.0,1.0,
46,47,Rainer Schuettler,1976-04-25 00:00:00,GER,,,,,,,,,,,,,,,,,,,
51,52,Andreas Vinciguerra,1981-02-19 00:00:00,SWE,,,,,,,,,,,,,,,,,,,
67,68,Nicolas Massu,1979-10-10 00:00:00,CHI,,,,,,,,,,,,,,,,,,,
70,71,Ivan Ljubicic,1979-03-19 00:00:00,CRO,,,,,,,,,,,,,,,,,,,
71,72,Olivier Rochus,1981-01-18 00:00:00,BEL,,,,,,,,,,,,,,,,,,,
74,75,Mikhail Youzhny,1982-06-25 00:00:00,RUS,51.0,0.0,875.0,241.0,10.0,80.0,9.0,10.0,3.0,80.0,2.0,12807012.0,775.0,,,,64.0,5.0,
77,78,Xavier Malisse,1980-07-19 00:00:00,BEL,,,,,,,,,,,,5694825.0,,,,,,,
78,79,Hyung-Taik Lee,1976-01-03 00:00:00,KOR,,,,,,,,,,,,2355686.0,,,,,,,
83,84,Tommy Robredo,1982-05-01 00:00:00,ESP,457.0,-160.0,85.0,435.0,9.0,510.0,8.0,55.0,2.0,0.0,0.0,12787213.0,,579.0,2.0,90.0,45.0,1.0,
88,89,Andy Roddick,1982-08-30 00:00:00,USA,,,,,,,,,,,,20640030.0,,,,,,,
90,91,Antony Dupuis,1973-02-24 00:00:00,FRA,,,,,,,,,,,,,,,,,,,
93,94,Andrei Stoliarov,1977-01-09 00:00:00,RUS,,,,,,,,,,,,,,,,,,,
132,133,Jan Kroslak,1974-10-17 00:00:00,SVK,,,,,,,,,,,,,,,,,,,
191,192,Patrick Baur,1965-05-03 00:00:00,GER,,,,,,,,,,,,709282.0,,,,,,,
192,193,Joaquin Munoz-Hernandez,1975-01-04 00:00:00,ESP,,,,,,,,,,,,139658.0,,691.0,4.0,66.0,,,
251,254,Francisco Cabello,1972-12-06 00:00:00,ARG,,,,,,,,,,,,178075.0,,,,,,,
273,276,Oren Motevassel,1967-08-26 00:00:00,USA,,,,,,,,,,,,,,,,,,,
275,278,Andre Sa,1977-05-06 00:00:00,BRA,,,,,,,,,,,,2406110.0,,55.0,-5.0,1425.0,,,
283,286,Razvan Sabau,1977-06-18 00:00:00,ROU,,,,,,,,,,,,,,,,,,,
378,382,Vincenzo Santopadre,1971-08-11 00:00:00,ITA,,,,,,,,,,,,,,,,,,,
395,401,Takao Suzuki,1976-09-20 00:00:00,JPN,,,,17.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,726497.0,,,,,0.0,2.0,
416,422,George Bastl,1975-04-01 00:00:00,SUI,,,,,,,,,,,,,,,,,,,
421,427,Radek Stepanek,1978-11-27 00:00:00,CZE,106.0,-1.0,558.0,80.0,6.0,77.0,6.0,10.0,2.0,0.0,0.0,10645526.0,513.0,30.0,-1.0,2505.0,85.0,3.0,
424,430,Michael Kohlmann,1974-01-11 00:00:00,GER,,,,,,,,,,,,,,,,,,,
425,431,Daniele Bracciali,1978-01-10 00:00:00,ITA,,,,,,,,,,,,1749020.0,,,,,,,
446,453,Michael Russell,1978-05-01 00:00:00,USA,,,,60.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2452569.0,,,,,0.0,1.0,
461,468,Feliciano Lopez,1981-09-20 00:00:00,ESP,28.0,-1.0,1420.0,1100.0,11.0,430.0,8.0,110.0,4.0,0.0,0.0,11201822.0,1320.0,13.0,0.0,4320.0,160.0,3.0,
462,469,Bjorn Phau,1979-10-04 00:00:00,GER,,,,,,,,,,,,,,,,,,,
480,488,James Blake,1979-12-28 00:00:00,USA,,,,,,,,,,,,,,,,,,,
484,492,Juan Ignacio Chela,1979-08-30 00:00:00,ARG,,,,,,,,,,,,,,,,,,,
488,496,Robert Lindstedt,1977-03-19 00:00:00,SWE,,,,,,,,,,,,3076021.0,,34.0,5.0,2320.0,,,
489,497,Jean-Rene Lisnard,1979-09-25 00:00:00,MON,,,,,,,,,,,,,,,,,,,
491,499,Kristian Pless,1981-02-09 00:00:00,DEN,,,,,,,,,,,,,,,,,,,
497,505,Nenad Zimonjic,1976-06-04 00:00:00,SRB,,,,,,,,,,,,7934606.0,,48.0,0.0,1620.0,,,
507,515,Fernando Gonzalez,1980-07-29 00:00:00,CHI,,,,,,,,,,,,,,,,,,,
508,516,Igor Kunitsyn,1981-09-30 00:00:00,RUS,,,,,,,,,,,,,,,,,,,
509,517,Lovro Zovko,1981-03-18 00:00:00,CRO,,,,,,,,,,,,623479.0,,,,,,,
512,520,Jurgen Melzer,1981-05-22 00:00:00,AUT,540.0,1.0,61.0,214.0,7.0,105.0,7.0,38.0,3.0,0.0,0.0,9734956.0,,410.0,92.0,152.0,10.0,3.0,
515,523,Phillip King,1981-12-19 00:00:00,USA,,,,,,,,,,,,151763.0,,,,,,,
523,531,Oliver Marach,1980-07-16 00:00:00,AUT,,,,,,,,,,,,2166853.0,,33.0,0.0,2350.0,,,
524,532,Kevin Kim,1978-07-26 00:00:00,USA,,,,,,,,,,,,1545970.0,,,,,,,
534,542,Talal Ouahabi,1978-08-01 00:00:00,MAR,,,,,,,,,,,,49817.0,,,,,,,
536,544,Noam Okun,1978-04-16 00:00:00,ISR,,,,,,,,,,,,784555.0,,,,,,,
543,552,Michael Llodra,1980-05-18 00:00:00,FRA,,,,,,,,,,,,,,,,,,,
544,553,Mardy Fish,1981-12-09 00:00:00,USA,,,,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7460641.0,,,,,0.0,0.0,
549,558,Jarkko Nieminen,1981-07-23 00:00:00,FIN,,,,182.0,7.0,104.0,7.0,65.0,3.0,0.0,0.0,7743345.0,,,,,20.0,3.0,
554,563,Paul-Henri Mathieu,1982-01-12 00:00:00,FRA,71.0,-3.0,736.0,70.0,7.0,419.0,10.0,36.0,3.0,0.0,0.0,5574523.0,710.0,437.0,1.0,135.0,126.0,10.0,
555,564,David Nalbandian,1982-01-01 00:00:00,ARG,,,,,,,,,,,,,,,,,,,
559,568,Nikolay Davydenko,1981-06-02 00:00:00,RUS,,,,,,,,,,,,,,,,,,,
566,575,Jan Hernych,1979-07-07 00:00:00,CZE,415.0,2.0,103.0,54.0,4.0,26.0,4.0,63.0,3.0,9.0,2.0,2155764.0,,839.0,-4.0,44.0,23.0,4.0,
567,576,Levar Harper-Griffith,1981-09-04 00:00:00,USA,,,,,,,,,,,,97113.0,,,,,,,
569,578,Nicolas Mahut,1982-01-21 00:00:00,FRA,40.0,0.0,1083.0,132.0,9.0,106.0,3.0,307.0,2.0,0.0,0.0,5431754.0,1057.0,1.0,0.0,8090.0,175.0,7.0,
570,579,Joachim Johansson,1982-07-01 00:00:00,SWE,,,,,,,,,,,,,,,,,,,
571,580,Stefano Tarallo,1976-03-08 00:00:00,ITA,,,,,,,,,,,,,,,,,,,
578,587,Eric Prodon,1981-06-27 00:00:00,FRA,,,,,,,,,,,,,,,,,,,
581,590,Andy Ram,1980-04-10 00:00:00,ISR,,,,,,,,,,,,,,,,,,,
594,603,Yuriy Schukin,1979-06-26 00:00:00,KAZ,,,,,,,,,,,,,,,,,,,
600,609,Dmitry Tursunov,1982-12-12 00:00:00,RUS,408.0,4.0,105.0,,,,,,,,,5577082.0,,269.0,1.0,267.0,,,
601,610,Omar Awadhy,1982-01-16 00:00:00,UAE,,,,,,,,,,,,111679.0,,,,,,,
602,611,Flavio Saretta,1980-06-28 00:00:00,BRA,,,,,,,,,,,,1239319.0,,,,,,,
603,612,Robby Ginepri,1982-10-07 00:00:00,USA,,,,,,,,,,,,3897123.0,,,,,,,
607,616,Albert Montanes,1980-11-26 00:00:00,ESP,146.0,-1.0,401.0,16.0,1.0,506.0,27.0,0.0,1.0,0.0,0.0,5650964.0,,715.0,7.0,62.0,6.0,1.0,
608,617,Frantisek Cermak,1976-11-14 00:00:00,CZE,,,,,,,,,,,,2415211.0,,300.0,-73.0,235.0,,,
610,619,Filippo Volandri,1981-09-05 00:00:00,ITA,265.0,-2.0,190.0,0.0,0.0,256.0,21.0,0.0,0.0,0.0,0.0,3903992.0,,,,,0.0,0.0,
612,621,Stefano Galvani,1977-06-03 00:00:00,ITA,,,,,,,,,,,,,,,,,,,
616,628,Julian Knowle,1974-04-29 00:00:00,AUT,,,,,,,,,,,,2878630.0,,94.0,4.0,832.0,,,
619,631,Marc Lopez,1982-07-31 00:00:00,ESP,,,,,,,,,,,,2826171.0,,15.0,0.0,4233.0,,,
622,634,Alexander Peya,1980-06-27 00:00:00,AUT,,,,,,,,,,,,3299835.0,,21.0,0.0,3470.0,,,
626,638,Alex Jr. Bogomolov,1983-04-23 00:00:00,RUS,,,,,,,,,,,,,,,,,,,
629,641,Ruben Ramirez-Hidalgo,1978-01-06 00:00:00,ESP,140.0,6.0,420.0,0.0,0.0,192.0,26.0,0.0,0.0,0.0,0.0,2243946.0,,345.0,2.0,190.0,0.0,1.0,
630,642,Ricardo Mello,1980-12-21 00:00:00,BRA,,,,,,,,,,,,,,,,,,,
631,643,Thiago Alves,1982-05-22 00:00:00,BRA,,,,,,,,,,,,,,,,,,,
635,647,Hiroki Kondo,1982-11-05 00:00:00,JPN,,,,6.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,179289.0,,,,,22.0,1.0,
637,649,Danai Udomchoke,1981-08-11 00:00:00,THA,,,,,,,,,,,,1095170.0,,,,,,,
638,650,Julien Benneteau,1981-12-20 00:00:00,FRA,202.0,4.0,269.0,65.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7674742.0,,37.0,-2.0,2220.0,0.0,1.0,
639,651,Mikhail Elgin,1981-10-14 00:00:00,RUS,764.0,-5.0,27.0,0.0,6.0,54.0,7.0,0.0,0.0,0.0,0.0,709704.0,,114.0,-6.0,669.0,45.0,6.0,
643,655,Ivo Karlovic,1979-02-28 00:00:00,CRO,21.0,-1.0,1705.0,900.0,13.0,65.0,3.0,555.0,4.0,0.0,0.0,6847624.0,1480.0,,,,255.0,6.0,
647,659,Olivier Patience,1980-03-25 00:00:00,FRA,,,,,,,,,,,,,,,,,,,
649,661,Denis Gremelmayr,1981-08-16 00:00:00,GER,,,,,,,,,,,,,,,,,,,
650,662,Marc Gicquel,1977-03-30 00:00:00,FRA,,,,,,,,,,,,2513052.0,,,,,,,
652,664,Julio Silva,1979-07-01 00:00:00,BRA,,,,,,,,,,,,,,,,,,,
653,665,Guillermo Hormazabal,1985-02-19 00:00:00,CHI,,,,,,,,,,,,,,,,,,,
656,668,Leonardo Olguin,1975-10-08 00:00:00,ARG,,,,,,,,,,,,,,,,,,,
660,672,Fernando Verdasco,1983-11-15 00:00:00,ESP,46.0,1.0,975.0,400.0,10.0,345.0,9.0,155.0,3.0,0.0,0.0,12245234.0,955.0,136.0,8.0,540.0,50.0,4.0,
661,673,David Ferrer,1982-04-02 00:00:00,ESP,13.0,-1.0,2455.0,1435.0,8.0,1760.0,6.0,0.0,1.0,0.0,0.0,28355864.0,1450.0,,,,1110.0,4.0,
662,674,Richard Gasquet,1986-06-18 00:00:00,FRA,17.0,1.0,2030.0,910.0,9.0,520.0,4.0,765.0,2.0,0.0,0.0,13484902.0,1490.0,435.0,151.0,135.0,700.0,4.0,
665,677,Rafael Nadal,1986-06-03 00:00:00,ESP,4.0,0.0,4940.0,1605.0,9.0,2475.0,8.0,295.0,3.0,0.0,0.0,75888125.0,3200.0,361.0,2.0,180.0,750.0,3.0,
666,678,Philipp Kohlschreiber,1983-10-16 00:00:00,GER,31.0,-1.0,1350.0,190.0,6.0,715.0,9.0,55.0,3.0,0.0,0.0,8555984.0,1260.0,203.0,-4.0,360.0,270.0,5.0,
672,684,Alex Bogdanovic,1984-05-22 00:00:00,GBR,,,,,,,,,,,,,,,,,,,
673,685,Gilles Muller,1983-05-09 00:00:00,LUX,36.0,1.0,1175.0,790.0,14.0,100.0,3.0,190.0,3.0,0.0,0.0,3245083.0,985.0,149.0,2.0,495.0,180.0,5.0,
679,691,Konstantinos Economidis,1977-11-02 00:00:00,GRE,,,,,,,,,,,,403974.0,,482.0,-2.0,113.0,,,
681,693,Karol Beck,1982-04-03 00:00:00,SVK,,,,,,,,,,,,2109570.0,,,,,,,
682,694,Filip Prpic,1982-05-26 00:00:00,SWE,,,,,,,,,,,,,,,,,,,
683,695,Victor Hanescu,1981-07-21 00:00:00,ROU,,,,47.0,3.0,122.0,14.0,0.0,1.0,0.0,0.0,4323925.0,,,,,14.0,2.0,
684,696,Gorka Fraile,1978-04-07 00:00:00,ESP,,,,,,,,,,,,,,,,,,,
700,712,Simon Greul,1981-04-13 00:00:00,GER,,,,,,,,,,,,,,,,,,,
702,714,Peter Luczak,1979-08-31 00:00:00,AUS,,,,,,,,,,,,1348036.0,,798.0,-2.0,48.0,,,
704,716,Robert Kendrick,1979-11-15 00:00:00,USA,,,,,,,,,,,,,,,,,,,
705,717,Florent Serra,1981-02-28 00:00:00,FRA,,,,,,,,,,,,2970611.0,,,,,,,
712,724,Mariusz Fyrstenberg,1980-07-08 00:00:00,POL,,,,,,,,,,,,2936961.0,,65.0,12.0,1217.0,,,
716,728,Janko Tipsarevic,1984-06-22 00:00:00,SRB,173.0,51.0,333.0,20.0,2.0,76.0,5.0,10.0,2.0,0.0,0.0,7529804.0,,432.0,2.0,135.0,0.0,0.0,
718,730,Vladimir Obradovic,1981-02-04 00:00:00,SRB,,,,,,,,,,,,,,,,,,,
723,735,Brian Baker,1985-04-30 00:00:00,USA,284.0,11.0,175.0,,,,,,,,,,,103.0,1.0,755.0,,,
724,736,Giovanni Lapentti,1983-01-25 00:00:00,ECU,392.0,-19.0,111.0,66.0,8.0,140.0,16.0,0.0,1.0,0.0,0.0,550360.0,,373.0,-30.0,176.0,0.0,2.0,
733,745,Michael Berrer,1980-07-01 00:00:00,GER,151.0,-1.0,388.0,318.0,10.0,43.0,4.0,41.0,3.0,8.0,1.0,2613157.0,,829.0,-4.0,45.0,115.0,7.0,
736,748,Michal Przysiezny,1984-02-16 00:00:00,POL,407.0,-31.0,106.0,91.0,9.0,8.0,3.0,8.0,3.0,0.0,0.0,1305038.0,,738.0,6.0,58.0,139.0,9.0,
737,749,Lukasz Kubot,1982-05-16 00:00:00,POL,601.0,-3.0,50.0,83.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,4696631.0,,23.0,1.0,3410.0,0.0,1.0,
739,751,Pavel Snobel,1980-02-28 00:00:00,CZE,,,,,,,,,,,,,,,,,,,
742,754,Aisam Qureshi,1980-03-17 00:00:00,PAK,,,,,,,,,,,,2379238.0,,41.0,1.0,1923.0,,,
744,756,Alessio di Mauro,1977-08-09 00:00:00,ITA,,,,,,,,,,,,833633.0,,,,,,,
746,758,Nikolai Soloviev,1986-05-04 00:00:00,RUS,,,,,,,,,,,,,,,,,,,
748,760,Philipp Petzschner,1984-03-24 00:00:00,GER,,,,23.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,3642473.0,,59.0,-5.0,1395.0,8.0,4.0,
749,761,Simon Stadler,1983-07-20 00:00:00,GER,,,,,,,,,,,,588660.0,,388.0,-2.0,159.0,,,
750,762,Yen-Hsun Lu,1983-08-14 00:00:00,TPE,63.0,0.0,793.0,623.0,20.0,45.0,2.0,75.0,4.0,18.0,1.0,3988958.0,538.0,303.0,0.0,230.0,0.0,1.0,
751,763,Jimmy Wang,1985-02-08 00:00:00,TPE,399.0,6.0,108.0,129.0,13.0,0.0,0.0,22.0,4.0,8.0,1.0,1114746.0,,402.0,-4.0,154.0,0.0,1.0,
752,764,Minh-Quan Do,1984-01-07 00:00:00,VIE,,,,,,,,,,,,15208.0,,,,,,,
759,771,Martin Emmrich,1984-12-17 00:00:00,GER,,,,,,,,,,,,386542.0,,,,,,,
763,775,Marco Chiudinelli,1981-09-10 00:00:00,SUI,124.0,1.0,495.0,86.0,6.0,0.0,1.0,40.0,3.0,22.0,2.0,1711228.0,,184.0,0.0,398.0,33.0,5.0,
766,778,Chris Guccione,1985-07-30 00:00:00,AUS,,,,,,,,,,,,1462295.0,,42.0,-1.0,1915.0,,,
767,779,Rik de Voest,1980-06-05 00:00:00,RSA,,,,,,,,,,,,,,,,,,,
776,788,Miguel Gallardo-Valles,1981-07-08 00:00:00,MEX,,,,,,,,,,,,,,,,,,,
779,791,Andreas Seppi,1984-02-21 00:00:00,ITA,94.0,0.0,630.0,470.0,10.0,200.0,5.0,410.0,4.0,0.0,0.0,7445187.0,575.0,84.0,0.0,995.0,240.0,5.0,
782,794,Massimo Bosa,1984-06-23 00:00:00,ITA,,,,,,,,,,,,,,,,,,,
786,798,Marcelo Amador,1980-09-27 00:00:00,MEX,,,,,,,,,,,,,,,,,,,
789,801,Santiago Gonzalez,1983-02-24 00:00:00,MEX,,,,,,,,,,,,1371478.0,,50.0,1.0,1485.0,,,
792,804,Lukas Dlouhy,1983-04-09 00:00:00,CZE,,,,,,,,,,,,3121210.0,,215.0,4.0,334.0,,,
794,806,Travis Rettenmaier,1983-08-06 00:00:00,USA,,,,,,,,,,,,,,,,,,,
802,814,Potito Starace,1981-07-14 00:00:00,ITA,,,,0.0,0.0,48.0,5.0,0.0,0.0,0.0,0.0,3796316.0,,,,,0.0,0.0,
808,820,Dmitri Sitak,1983-03-04 00:00:00,RUS,,,,,,,,,,,,107659.0,,,,,,,
809,821,Sarvar Ikramov,1985-01-10 00:00:00,UZB,,,,,,,,,,,,58993.0,,,,,,,
811,823,Murad Inoyatov,1984-11-13 00:00:00,UZB,,,,,,,,,,,,,,,,,,,
812,824,Igor Zelenay,1982-10-02 00:00:00,SVK,,,,,,,,,,,,534826.0,,85.0,1.0,916.0,,,
818,831,Tomas Berdych,1985-09-17 00:00:00,CZE,9.0,0.0,3470.0,2390.0,11.0,1320.0,4.0,270.0,2.0,0.0,0.0,23804551.0,2870.0,123.0,-1.0,630.0,730.0,5.0,
823,836,Ivan Navarro,1981-10-19 00:00:00,ESP,,,,,,,,,,,,1222193.0,,,,,,,
825,838,Daniel Gimeno-Traver,1985-08-07 00:00:00,ESP,116.0,0.0,523.0,43.0,4.0,517.0,19.0,10.0,3.0,0.0,0.0,2927993.0,,861.0,-4.0,42.0,20.0,4.0,
826,839,Miguel-Angel Lopez Jaen,1982-11-29 00:00:00,ESP,,,,,,,,,,,,267794.0,,,,,,,
827,840,Roko Karanusic,1982-09-05 00:00:00,CRO,,,,,,,,,,,,,,,,,,,
832,845,Juan-Pablo Brzezicki,1982-04-12 00:00:00,ARG,,,,,,,,,,,,,,,,,,,
837,850,Oscar Hernandez,1978-04-10 00:00:00,ESP,,,,,,,,,,,,1943820.0,,,,,,,
840,853,Gabriel Trujillo-Soler,1979-09-30 00:00:00,ESP,,,,,,,,,,,,,,,,,,,
841,854,Florian Mayer,1983-10-05 00:00:00,GER,60.0,0.0,813.0,10.0,1.0,126.0,10.0,100.0,2.0,0.0,0.0,5464940.0,813.0,432.0,2.0,135.0,0.0,0.0,
842,855,Jan Minar,1981-04-09 00:00:00,CZE,,,,,,,,,,,,,,,,,,,
850,863,Dieter Kindlmann,1982-06-03 00:00:00,GER,,,,,,,,,,,,,,,,,,,
851,864,Paul Capdeville,1983-04-02 00:00:00,CHI,,,,,,,,,,,,,,,,,,,
852,865,Julio Peralta,1981-09-09 00:00:00,CHI,,,,0.0,1.0,16.0,3.0,0.0,0.0,0.0,0.0,117969.0,,44.0,0.0,1805.0,0.0,0.0,
856,869,Michael Lammer,1982-03-25 00:00:00,SUI,,,,,,,,,,,,533475.0,,,,,,,
862,875,Mischa Zverev,1987-08-22 00:00:00,GER,111.0,9.0,535.0,43.0,5.0,54.0,9.0,62.0,2.0,0.0,0.0,2120056.0,,248.0,-1.0,285.0,140.0,8.0,
869,882,Andreas Beck,1986-02-05 00:00:00,GER,356.0,4.0,125.0,16.0,4.0,56.0,8.0,16.0,2.0,0.0,0.0,1540429.0,,716.0,7.0,62.0,22.0,6.0,
871,884,Rohan Bopanna,1980-03-04 00:00:00,IND,,,,,,,,,,,,2875665.0,,18.0,0.0,3710.0,,,
878,891,Frank Dancevic,1984-09-26 00:00:00,CAN,267.0,-13.0,189.0,99.0,12.0,33.0,7.0,0.0,3.0,0.0,0.0,1707329.0,,,,,87.0,5.0,
887,900,Michael Quintero,1980-07-11 00:00:00,COL,,,,,,,,,,,,204462.0,,,,,,,
896,909,Artem Sitak,1986-02-08 00:00:00,NZL,,,,,,,,,,,,348368.0,,62.0,-1.0,1325.0,,,
897,910,Sergei Krotiouk,1978-06-21 00:00:00,RUS,,,,,,,,,,,,,,,,,,,
903,916,Emin Agaev,1979-05-14 00:00:00,AZE,,,,,,,,,,,,,,,,,,,
905,918,Teimuraz Gabashvili,1985-05-23 00:00:00,RUS,110.0,-2.0,536.0,341.0,14.0,401.0,8.0,10.0,1.0,0.0,0.0,3369958.0,,240.0,4.0,295.0,189.0,7.0,
906,920,Jan Hajek,1983-08-07 00:00:00,CZE,,,,,,,,,,,,1427267.0,,,,,,,
907,921,Michal Mertinak,1979-10-11 00:00:00,SVK,,,,,,,,,,,,,,,,,,,
908,922,Mike Scheidweiler,1981-11-14 00:00:00,LUX,,,,,,,,,,,,49645.0,,,,,,,
910,924,Marian Podeprel,1983-12-21 00:00:00,CZE,,,,,,,,,,,,,,,,,,,
915,929,Martin Schulhauser,1985-05-05 00:00:00,CZE,,,,,,,,,,,,,,,,,,,
917,931,Maximilian Abel,1982-02-28 00:00:00,GER,,,,,,,,,,,,,,,,,,,
919,933,Bruno Rosa,1986-02-14 00:00:00,BRA,,,,,,,,,,,,,,,,,,,
921,935,Carlos Berlocq,1983-02-03 00:00:00,ARG,75.0,-3.0,708.0,35.0,3.0,489.0,22.0,0.0,0.0,0.0,0.0,3351596.0,591.0,587.0,2.0,90.0,0.0,0.0,
923,937,Jerome Haehnel,1980-07-14 00:00:00,FRA,,,,,,,,,,,,,,,,,,,
926,940,Timo Nieminen,1981-10-06 00:00:00,FIN,,,,,,,,,,,,,,,,,,,
927,941,Lauri Kiiski,1980-10-10 00:00:00,FIN,,,,,,,,,,,,39533.0,,,,,,,
934,948,Prakash Amritraj,1983-10-02 00:00:00,IND,,,,,,,,,,,,,,,,,,,
946,960,Giuseppe Menga,1976-06-17 00:00:00,ITA,,,,,,,,,,,,42370.0,,,,,,,
947,961,Guillermo Garcia-Lopez,1983-06-04 00:00:00,ESP,73.0,-16.0,715.0,530.0,11.0,450.0,7.0,100.0,3.0,0.0,0.0,6095008.0,695.0,47.0,2.0,1675.0,440.0,6.0,
956,970,Frederik Nielsen,1983-08-27 00:00:00,DEN,420.0,4.0,100.0,74.0,13.0,0.0,0.0,20.0,5.0,0.0,1.0,858958.0,,97.0,-4.0,782.0,19.0,6.0,
967,981,Thierry Roggi,1980-01-05 00:00:00,FRA,,,,,,,,,,,,,,,,,,,
984,998,Jeff Greenwald,1966-11-10 00:00:00,USA,,,,,,,,,,,,,,,,,,,
989,1003,Farrukh Dustov,1986-05-22 00:00:00,UZB,375.0,-122.0,115.0,164.0,11.0,0.0,8.0,8.0,2.0,17.0,2.0,464510.0,,591.0,-84.0,89.0,160.0,7.0,
994,1008,Olivier Charroin,1982-03-10 00:00:00,FRA,,,,,,,,,,,,118947.0,,,,,,,
1004,1018,Rui Machado,1984-04-10 00:00:00,POR,892.0,-1.0,17.0,38.0,6.0,82.0,11.0,0.0,1.0,0.0,0.0,896997.0,,,,,0.0,0.0,
1014,1028,Goncalo Pereira,1984-09-06 00:00:00,POR,,,,,,,,,,,,22963.0,,,,,,,
1021,1035,Marcel Granollers,1986-04-12 00:00:00,ESP,44.0,0.0,1009.0,160.0,9.0,277.0,11.0,55.0,2.0,0.0,0.0,7267409.0,956.0,31.0,0.0,2440.0,163.0,7.0,
1026,1040,Pedro Clar-Rossello,1986-01-23 00:00:00,ESP,,,,,,,,,,,,,,,,,,,
1028,1042,Juan Monaco,1984-03-29 00:00:00,ARG,89.0,4.0,650.0,235.0,5.0,530.0,12.0,45.0,2.0,0.0,0.0,7524038.0,650.0,,,,0.0,0.0,
1035,1049,Frank Moser,1976-09-23 00:00:00,GER,854.0,5.0,19.0,,,,,,,,,520718.0,,152.0,15.0,485.0,,,
1039,1053,Andre Begemann,1984-07-12 00:00:00,GER,,,,,,,,,,,,584148.0,,90.0,-5.0,880.0,,,
1043,1057,Ross Hutchins,1985-02-22 00:00:00,GBR,,,,,,,,,,,,,,,,,,,
1055,1069,Sander Groen,1968-06-16 00:00:00,NED,,,,,,,,,,,,501013.0,,,,,,,
1058,1072,Paul Hanley,1977-11-12 00:00:00,AUS,,,,,,,,,,,,,,,,,,,
1061,1075,Andy Murray,1987-05-15 00:00:00,GBR,2.0,0.0,9345.0,4150.0,9.0,2060.0,4.0,1220.0,2.0,0.0,0.0,42435316.0,8185.0,259.0,-3.0,275.0,690.0,3.0,
1070,1084,Johan Brunstrom,1980-04-03 00:00:00,SWE,,,,,,,,,,,,768776.0,,69.0,-4.0,1168.0,,,
1074,1088,Stephane Bohli,1983-07-25 00:00:00,SUI,,,,,,,,,,,,,,,,,,,
1078,1092,Stan Wawrinka,1985-03-28 00:00:00,SUI,3.0,0.0,6365.0,2615.0,9.0,2585.0,5.0,405.0,2.0,0.0,0.0,20947676.0,4970.0,578.0,2.0,90.0,1220.0,6.0,
1093,1107,Brendan Evans,1986-04-08 00:00:00,USA,,,,,,,,,,,,,,,,,,,
1099,1113,Stephane Robert,1980-05-17 00:00:00,FRA,53.0,0.0,849.0,94.0,8.0,112.0,14.0,16.0,1.0,0.0,0.0,1419327.0,771.0,172.0,23.0,425.0,17.0,1.0,
1102,1116,Christopher Kas,1980-06-13 00:00:00,GER,,,,,,,,,,,,,,,,,,,
1109,1123,Florin Mergea,1985-01-26 00:00:00,ROU,,,,,,,,,,,,1131692.0,,16.0,0.0,3960.0,,,
1111,1125,Toshihide Matsui,1978-04-19 00:00:00,JPN,,,,29.0,25.0,0.0,0.0,0.0,0.0,5.0,2.0,221353.0,,194.0,-1.0,382.0,0.0,2.0,
1114,1128,Ryan Haviland,1980-12-12 00:00:00,USA,716.0,1.0,31.0,,,,,,,,,19044.0,,,,,,,
1117,1131,Jordan Kerr,1979-10-26 00:00:00,AUS,,,,,,,,,,,,,,,,,,,
1118,1132,Tomasz Bednarek,1981-11-12 00:00:00,POL,,,,,,,,,,,,399217.0,,151.0,-14.0,493.0,,,
1121,1135,Marcin Matkowski,1981-01-15 00:00:00,POL,,,,,,,,,,,,3418914.0,,40.0,0.0,2130.0,,,
1122,1136,Filip Aniola,1980-02-25 00:00:00,POL,,,,,,,,,,,,,,,,,,,
