,ID_P,NAME_P,DATE_P,COUNTRY_P,RANK_P,PROGRESS_P,POINT_P,HARDPOINT_P,HARDTOUR_P,CLAYPOINT_P,CLAYTOUR_P,GRASSPOINT_P,GRASSTOUR_P,CARPETPOINT_P,CARPETTOUR_P,PRIZE_P,CH_P,DR_P,DP_P,DO_P,IHARDPOINT_P,IHARDTOUR_P,ITF_ID
21248,21831,Nils Schuhmann,1993-01-27 00:00:00,GER,,,,,,,,,,,,,,,,,,,100130402.0
21249,21832,Amrit Narasimhan,1985-03-10 00:00:00,USA,,,,,,,,,,,,,,,,,,,100066682.0
21250,21833,Victor Hoang,1992-01-15 00:00:00,CAN,,,,,,,,,,,,,,,,,,,100111536.0
21257,21840,Julio-Cesar Campozano/Alejandro Gonzalez,,,,,,,,,,,,,,,,,,,,,
21264,21847,Alessio di Mauro/Alessandro Giannessi,,,,,,,,,,,,,,,,,,,,,
21268,21851,Paolo Lorenzi/Albert Ramos-Vinolas,,,,,,,,,,,,,,,,,,,,,
21272,21855,David Warren (1988),1988-07-25 00:00:00,USA,,,,,,,,,,,,,,,,,,,100144703.0
21276,21859,Kevin Sielmann,1991-11-01 00:00:00,ESP,,,,,,,,,,,,,,,,,,,100139886.0
21278,21861,Zeke Hindle,1986-01-11 00:00:00,USA,,,,,,,,,,,,,,,,,,,100118169.0
21283,21866,Niels Cleeren,1991-10-25 00:00:00,BEL,,,,,,,,,,,,,,,,,,,100126720.0
21293,21878,Jurgen Melzer/Leander Paes,,,,,,,,,,,,,,,,,,,,,
21298,21883,Gabor Borsos,1991-06-30 00:00:00,HUN,739.0,-2.0,30.0,6.0,6.0,10.0,16.0,0.0,0.0,0.0,0.0,10474.0,,398.0,13.0,156.0,4.0,2.0,100183629.0
21304,21890,Gianmarco Cacace,1993-01-02 00:00:00,ITA,,,,,,,,,,,,,,,,,,,100155514.0
21307,21893,Denis Kapric,1994-08-24 00:00:00,GER,,,,,,,,,,,,,,865.0,-3.0,42.0,,,100146459.0
21333,21919,Facundo Arguello/Agustin Velotti,,,,,,,,,,,,,,,,,,,,,
21344,21930,Filip Polasek/Igor Zelenay,,,,,,,,,,,,,,,,,,,,,
21347,21933,Steve Darcis/David Goffin,,,,,,,,,,,,,,,,,,,,,
21360,21946,Francisco Yim Kim,1994-10-09 00:00:00,PAR,,,,,,,,,,,,,,,,,,,100174268.0
21362,21948,Shukhrat Gizatulin,1993-01-02 00:00:00,UZB,,,,,,,,,,,,,,,,,,,100102506.0
21363,21949,Pavel Tsoy,1995-09-19 00:00:00,UZB,,,,,,,,,,,,,,,,,,,100150561.0
21364,21950,Nicolas Boulch,1990-04-29 00:00:00,FRA,,,,,,,,,,,,,,,,,,,100148684.0
21365,21951,Quentin Gueydan,1994-07-25 00:00:00,FRA,,,,,,,,,,,,,,,,,,,100183221.0
21366,21952,Freddy Daraize,,FRA,,,,,,,,,,,,,,,,,,,100196654.0
21371,21957,Maximo Gonzalez/Horacio Zeballos,,,,,,,,,,,,,,,,,,,,,
21372,21958,Teimuraz Gabashvili/Andrey Kuznetsov,,,,,,,,,,,,,,,,,,,,,
21374,21960,Rajeev Ram/Radek Stepanek,,,,,,,,,,,,,,,,,,,,,
21375,21961,Jeremy Chardy/Lukas Dlouhy,,,,,,,,,,,,,,,,,,,,,
21380,21966,Naser Obaidly,1995-03-11 00:00:00,KUW,,,,,,,,,,,,,,,,,,,100157983.0
21385,21971,Paulo Coronado,1995-05-17 00:00:00,BRA,,,,,,,,,,,,,,,,,,,100146943.0
21387,21973,Timur Khabibulin,1995-08-02 00:00:00,UZB,866.0,3.0,19.0,,,,,,,,,19290.0,,600.0,28.0,88.0,,,100116727.0
21389,21975,Efthimios Efthimiadis,1992-04-07 00:00:00,AUS,,,,,,,,,,,,,,,,,,,100131992.0
21401,21993,Marc Gicquel/David Guez,,,,,,,,,,,,,,,,,,,,,
21405,21997,Uladzimir Ignatik/Andrej Martin,,,,,,,,,,,,,,,,,,,,,
21412,22004,Diego Hidalgo/Agustin Velotti,,,,,,,,,,,,,,,,,,,,,
21413,22005,Fabio Fognini/Paolo Lorenzi,,,,,,,,,,,,,,,,,,,,,
21429,22021,Tony Bourcet,1984-08-08 00:00:00,FRA,,,,,,,,,,,,,,,,,,,100156465.0
21430,22022,Guillaume Lacour,1990-01-27 00:00:00,FRA,,,,,,,,,,,,,,,,,,,100120391.0
21431,22023,Ki Su Jung,1993-10-14 00:00:00,KOR,,,,,,,,,,,,,,,,,,,100126196.0
21433,22025,Ji Hoon Son,1994-09-09 00:00:00,KOR,818.0,-8.0,22.0,,,,,,,,,,,,,,,,100133430.0
21434,22026,Jae Won Yun,1992-07-03 00:00:00,KOR,,,,,,,,,,,,,,,,,,,100133440.0
21443,22036,Andrey Yakovlev/Alexander Zhurbin,,,,,,,,,,,,,,,,,,,,,
21453,22046,Adrian Mannarino/Benoit Paire,,,,,,,,,,,,,,,,,,,,,
21463,22056,Cem Ilkel,1995-08-21 00:00:00,TUR,319.0,2.0,148.0,80.0,27.0,2.0,4.0,0.0,0.0,0.0,0.0,50673.0,,450.0,-1.0,127.0,0.0,1.0,100166700.0
21465,22058,Dante Gennaro,1993-05-14 00:00:00,ARG,,,,,,,,,,,,15647.0,,,,,,,100143950.0
21472,22065,Adam Thornton-Brown,1991-05-15 00:00:00,GBR,,,,,,,,,,,,,,,,,,,100120361.0
21475,22068,Karim Hossam,1994-04-08 00:00:00,EGY,828.0,-13.0,21.0,18.0,21.0,7.0,5.0,0.0,0.0,0.0,0.0,40940.0,,,,,0.0,0.0,100126200.0
21476,22069,Thai Kwiatkowski,1995-02-13 00:00:00,USA,683.0,2.0,35.0,,,,,,,,,,,536.0,0.0,99.0,,,100160272.0
21481,22074,Paul Capdeville/Hans Podlipnik-Castillo,,,,,,,,,,,,,,,,,,,,,
21490,22083,Hyun-Joon Kim/Dong-Kyu Lee,,,,,,,,,,,,,,,,,,,,,
21492,22085,Hong Chung/Ji Sung Nam,,,,,,,,,,,,,,,,,,,,,
21495,22088,Alex Jr. Bogomolov/Dudi Sela,,,,,,,,,,,,,,,,,,,,,
21498,22091,Ilija Bozoljac/Frank Dancevic,,,,,,,,,,,,,,,,,,,,,
21502,22095,Pierre-Hugues Herbert/Nicolas Renavand,,,,,,,,,,,,,,,,,,,,,
21513,22106,Facundo Manzanares,1993-08-30 00:00:00,ARG,,,,,,,,,,,,,,,,,,,100164605.0
21514,22107,Guillermo Nunez,1995-07-22 00:00:00,CHI,,,,,,,,,,,,,,,,,,,100167110.0
21517,22110,Terrell Celestine,1994-04-24 00:00:00,USA,,,,,,,,,,,,,,,,,,,100117746.0
21519,22112,Hunter Reese,1993-01-11 00:00:00,USA,,,,,,,,,,,,11622.0,,500.0,28.0,109.0,,,100161890.0
21520,22113,Brian Page,1994-08-28 00:00:00,USA,,,,,,,,,,,,39466.0,,,,,,,100161181.0
21522,22115,Matej Sabanov,1992-06-25 00:00:00,CRO,,,,,,,,,,,,27381.0,,237.0,3.0,297.0,,,100134645.0
21523,22116,Mazen Osama,1995-02-09 00:00:00,EGY,,,,,,,,,,,,12828.0,,,,,,,100155751.0
21525,22118,Ruben Ramirez-Hidalgo/Albert Ramos-Vinolas,,,,,,,,,,,,,,,,,,,,,
21536,22129,Justin S. Shane,1992-03-06 00:00:00,USA,,,,14.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,,,,,,1.0,4.0,100148303.0
21537,22130,Luca Corinteli,1995-07-09 00:00:00,USA,,,,,,,,,,,,,,,,,,,100155093.0
21539,22133,Adil Eltaev,1994-03-12 00:00:00,KAZ,,,,,,,,,,,,,,,,,,,100134285.0
21546,22140,Jaime Ignacio Galleguillos,1995-09-04 00:00:00,CHI,,,,,,,,,,,,,,,,,,,100112186.0
21556,22150,Gustavo Vellbach,1992-09-24 00:00:00,ARG,,,,0.0,1.0,17.0,20.0,0.0,0.0,0.0,0.0,10556.0,,,,,0.0,1.0,100141672.0
21564,22158,Evgeny Donskoy/Andrey Kuznetsov,,,,,,,,,,,,,,,,,,,,,
